date,open,high,low,close,amount,volume
2008-01-02,100.22,100.22,100.22,100.22,950.0,0.0
2008-01-03,100.25,100.25,100.25,100.25,960.0,0.0
2008-01-04,100.34,100.34,100.34,100.34,460.0,0.0
2008-01-07,100.45,100.45,100.45,100.45,340.0,0.0
2008-01-08,100.55,100.55,100.55,100.55,0.0,0.0
2008-01-09,100.51,100.51,100.51,100.51,1980.0,0.0
2008-01-10,100.44,100.44,100.44,100.44,2130.0,0.0
2008-01-11,100.52,100.52,100.52,100.52,2630.0,0.0
2008-01-14,100.58,100.58,100.58,100.58,200.0,0.0
2008-01-15,100.61,100.61,100.61,100.61,1580.0,0.0
2008-01-16,100.65,100.65,100.65,100.65,320.0,0.0
2008-01-17,100.63,100.63,100.63,100.63,290.0,0.0
2008-01-18,100.71,100.71,100.71,100.71,120.0,0.0
2008-01-21,100.82,100.82,100.82,100.82,1630.0,0.0
2008-01-22,100.89,100.89,100.89,100.89,340.0,0.0
2008-01-23,101.37,101.37,101.37,101.37,710.0,0.0
2008-01-24,101.77,101.77,101.77,101.77,780.0,0.0
2008-01-25,101.85,101.85,101.85,101.85,2690.0,0.0
2008-01-28,101.94,101.94,101.94,101.94,460.0,0.0
2008-01-29,101.87,101.87,101.87,101.87,630.0,0.0
2008-01-30,101.91,101.91,101.91,101.91,2230.0,0.0
2008-01-31,102.34,102.34,102.34,102.34,1040.0,0.0
2008-02-01,102.94,102.94,102.94,102.94,1310.0,0.0
2008-02-02,102.91,102.91,102.91,102.91,180.0,0.0
2008-02-03,102.95,102.95,102.95,102.95,20.0,0.0
2008-02-04,102.97,102.97,102.97,102.97,40.0,0.0
2008-02-05,102.91,102.91,102.91,102.91,0.0,0.0
2008-02-13,102.92,102.92,102.92,102.92,750.0,0.0
2008-02-14,102.94,102.94,102.94,102.94,160.0,0.0
2008-02-15,102.83,102.83,102.83,102.83,80.0,0.0
2008-02-18,102.74,102.74,102.74,102.74,160.0,0.0
2008-02-19,102.62,102.62,102.62,102.62,0.0,0.0
2008-02-20,102.92,102.92,102.92,102.92,420.0,0.0
2008-02-21,102.93,102.93,102.93,102.93,190.0,0.0
2008-02-22,103.02,103.02,103.02,103.02,100.0,0.0
2008-02-25,103.08,103.08,103.08,103.08,0.0,0.0
2008-02-26,103.14,103.14,103.14,103.14,1100.0,0.0
2008-02-27,103.11,103.11,103.11,103.11,1030.0,0.0
2008-02-28,103.22,103.22,103.22,103.22,200.0,0.0
2008-02-29,103.2,103.2,103.2,103.2,100.0,0.0
2008-03-03,103.21,103.21,103.21,103.21,200.0,0.0
2008-03-04,103.07,103.07,103.07,103.07,1720.0,0.0
2008-03-05,103.03,103.03,103.03,103.03,990.0,0.0
2008-03-06,103.0,103.0,103.0,103.0,470.0,0.0
2008-03-07,103.03,103.03,103.03,103.03,175.0,0.0
2008-03-10,103.03,103.03,103.03,103.03,240.0,0.0
2008-03-11,102.95,102.95,102.95,102.95,300.0,0.0
2008-03-12,103.04,103.04,103.04,103.04,1430.0,0.0
2008-03-13,103.2,103.2,103.2,103.2,0.0,0.0
2008-03-14,103.32,103.32,103.32,103.32,125.0,0.0
2008-03-17,103.33,103.33,103.33,103.33,330.0,0.0
2008-03-18,103.43,103.43,103.43,103.43,0.0,0.0
2008-03-19,103.74,103.74,103.74,103.74,1010.0,0.0
2008-03-20,103.65,103.65,103.65,103.65,0.0,0.0
2008-03-21,103.77,103.77,103.77,103.77,30.0,0.0
2008-03-24,103.9,103.9,103.9,103.9,60.0,0.0
2008-03-25,104.17,104.17,104.17,104.17,650.0,0.0
