symbol,index,weight,year
BU,NHII,0.02,2023
CU,NHII,0.0811,2023
EG,NHII,0.02,2023
FG,NHII,0.02,2023
FU,NHII,0.0243,2023
I,NHII,0.1003,2023
J,NHII,0.0753,2023
MA,NHII,0.0357,2023
NI,NHII,0.069,2023
PP,NHII,0.0308,2023
RB,NHII,0.1088,2023
RU,NHII,0.0411,2023
SA,NHII,0.0328,2023
SC,NHII,0.1575,2023
SN,NHII,0.02,2023
SP,NHII,0.0219,2023
TA,NHII,0.0445,2023
V,NHII,0.0228,2023
ZN,NHII,0.0292,2023
AL,NHMI,0.095,2023
CU,NHMI,0.1683,2023
I,NHMI,0.2085,2023
NI,NHMI,0.1393,2023
RB,NHMI,0.2238,2023
SF,NHMI,0.02,2023
SM,NHMI,0.02,2023
SN,NHMI,0.0275,2023
SS,NHMI,0.0381,2023
ZN,NHMI,0.0595,2023
AL,NHNFI,0.1926,2023
CU,NHNFI,0.3353,2023
NI,NHNFI,0.2694,2023
PB,NHNFI,0.0335,2023
SN,NHNFI,0.053,2023
ZN,NHNFI,0.1162,2023
A,NHOOI,0.052,2023
B,NHOOI,0.1319,2023
M,NHOOI,0.2156,2023
OI,NHOOI,0.1163,2023
P,NHOOI,0.2122,2023
RM,NHOOI,0.0673,2023
Y,NHOOI,0.2047,2023
BU,NHPCI,0.1312,2023
EB,NHPCI,0.0889,2023
EG,NHPCI,0.1222,2023
PP,NHPCI,0.2118,2023
TA,NHPCI,0.2924,2023
V,NHPCI,0.1535,2023
AG,NHPMI,0.3998,2023
AU,NHPMI,0.6002,2023
AP,NHAECI,0.2589,2024
CF,NHAECI,0.3297,2024
CJ,NHAECI,0.0437,2024
PK,NHAECI,0.1158,2024
SR,NHAECI,0.2519,2024
A,NHAI,0.0241,2024
AP,NHAI,0.0576,2024
C,NHAI,0.0945,2024
CF,NHAI,0.0779,2024
JD,NHAI,0.0376,2024
LH,NHAI,0.1567,2024
M,NHAI,0.1104,2024
OI,NHAI,0.0808,2024
P,NHAI,0.131,2024
RM,NHAI,0.0432,2024
SR,NHAI,0.0597,2024
Y,NHAI,0.1265,2024
FG,NHBMI,0.1578,2024
RB,NHBMI,0.6663,2024
V,NHBMI,0.1759,2024
EB,NHCCI,0.0713,2024
EG,NHCCI,0.0791,2024
MA,NHCCI,0.1622,2024
PP,NHCCI,0.1441,2024
SA,NHCCI,0.1587,2024
TA,NHCCI,0.206,2024
UR,NHCCI,0.0566,2024
V,NHCCI,0.122,2024
AG,NHCI,0.0492,2024
AL,NHCI,0.0421,2024
AU,NHCI,0.062,2024
CF,NHCI,0.0269,2024
CU,NHCI,0.068,2024
FG,NHCI,0.0205,2024
FU,NHCI,0.0202,2024
I,NHCI,0.077,2024
J,NHCI,0.0576,2024
M,NHCI,0.0386,2024
MA,NHCI,0.0298,2024
NI,NHCI,0.0538,2024
OI,NHCI,0.0275,2024
P,NHCI,0.0441,2024
RB,NHCI,0.0842,2024
RU,NHCI,0.033,2024
SA,NHCI,0.0319,2024
SC,NHCI,0.1524,2024
TA,NHCI,0.038,2024
Y,NHCI,0.0432,2024
AU,NHCIMi,0.1776,2024
CF,NHCIMi,0.0769,2024
I,NHCIMi,0.2225,2024
J,NHCIMi,0.1675,2024
M,NHCIMi,0.1106,2024
NI,NHCIMi,0.1539,2024
SA,NHCIMi,0.091,2024
BU,NHECI,0.0319,2024
EB,NHECI,0.0254,2024
EG,NHECI,0.03,2024
FG,NHECI,0.0427,2024
FU,NHECI,0.0422,2024
J,NHECI,0.1021,2024
MA,NHECI,0.0601,2024
PG,NHECI,0.0424,2024
PP,NHECI,0.0492,2024
RU,NHECI,0.0697,2024
SA,NHECI,0.068,2024
SC,NHECI,0.25,2024
SP,NHECI,0.044,2024
TA,NHECI,0.0767,2024
UR,NHECI,0.02,2024
V,NHECI,0.0456,2024
FU,NHEI,0.1189,2024
J,NHEI,0.2061,2024
PG,NHEI,0.0947,2024
SC,NHEI,0.5803,2024
I,NHFI,0.3069,2024
J,NHFI,0.2027,2024
RB,NHFI,0.3625,2024
SF,NHFI,0.0306,2024
SM,NHFI,0.0318,2024
SS,NHFI,0.0655,2024
I,NHFMI,0.5425,2024
J,NHFMI,0.3433,2024
SF,NHFMI,0.0565,2024
SM,NHFMI,0.0577,2024
AL,NHII,0.0472,2024
BU,NHII,0.02,2024
CU,NHII,0.0788,2024
EG,NHII,0.0201,2024
FG,NHII,0.0256,2024
FU,NHII,0.0253,2024
I,NHII,0.0885,2024
J,NHII,0.063,2024
MA,NHII,0.0362,2024
NI,NHII,0.0671,2024
PP,NHII,0.0298,2024
RB,NHII,0.1001,2024
RU,NHII,0.0418,2024
SA,NHII,0.0406,2024
SC,NHII,0.1691,2024
SN,NHII,0.02,2024
SP,NHII,0.0268,2024
TA,NHII,0.0463,2024
V,NHII,0.0275,2024
ZN,NHII,0.0262,2024
AL,NHMI,0.1017,2024
CU,NHMI,0.1695,2024
I,NHMI,0.1905,2024
NI,NHMI,0.1437,2024
RB,NHMI,0.215,2024
SF,NHMI,0.02,2024
SM,NHMI,0.02,2024
SN,NHMI,0.0403,2024
SS,NHMI,0.043,2024
ZN,NHMI,0.0563,2024
AL,NHNFI,0.1983,2024
CU,NHNFI,0.3247,2024
NI,NHNFI,0.2652,2024
PB,NHNFI,0.033,2024
SN,NHNFI,0.0738,2024
ZN,NHNFI,0.105,2024
LC,NHNMI,0.7608,2024
SI,NHNMI,0.2392,2024
A,NHOOI,0.071,2024
M,NHOOI,0.2585,2024
OI,NHOOI,0.1481,2024
P,NHOOI,0.2094,2024
RM,NHOOI,0.0757,2024
Y,NHOOI,0.2373,2024
BU,NHPCI,0.1223,2024
EB,NHPCI,0.0999,2024
EG,NHPCI,0.1126,2024
PP,NHPCI,0.1999,2024
TA,NHPCI,0.2921,2024
V,NHPCI,0.1732,2024
AG,NHPMI,0.3944,2024
AU,NHPMI,0.6056,2024
AL,NHRECI,0.1075,2024
AU,NHRECI,0.1687,2024
CU,NHRECI,0.1145,2024
I,NHRECI,0.0692,2024
P,NHRECI,0.0868,2024
RB,NHRECI,0.1312,2024
SC,NHRECI,0.0781,2024
TA,NHRECI,0.1042,2024
Y,NHRECI,0.1398,2024
AP,NHAECI,0.29544732076482055,2025
CF,NHAECI,0.37047014056623384,2025
CJ,NHAECI,0.05423812350358925,2025
SR,NHAECI,0.2798444151653562,2025
A,NHAI,0.0245,2025
AP,NHAI,0.0526,2025
C,NHAI,0.0982,2025
CF,NHAI,0.0742,2025
JD,NHAI,0.0368,2025
LH,NHAI,0.1537,2025
M,NHAI,0.1125,2025
OI,NHAI,0.0924,2025
P,NHAI,0.1329,2025
RM,NHAI,0.0466,2025
SR,NHAI,0.0565,2025
Y,NHAI,0.1191,2025
FG,NHBMI,0.1781,2025
RB,NHBMI,0.6338,2025
V,NHBMI,0.1881,2025
EB,NHCCI,0.1195,2025
EG,NHCCI,0.1249,2025
MA,NHCCI,0.2503,2025
PP,NHCCI,0.2146,2025
UR,NHCCI,0.089,2025
V,NHCCI,0.2017,2025
AG,NHCI,0.0605,2025
AL,NHCI,0.047,2025
AU,NHCI,0.0733,2025
CF,NHCI,0.0258,2025
CU,NHCI,0.0752,2025
FG,NHCI,0.0238,2025
I,NHCI,0.0758,2025
M,NHCI,0.0396,2025
MA,NHCI,0.0278,2025
NI,NHCI,0.0419,2025
OI,NHCI,0.0316,2025
P,NHCI,0.0449,2025
RB,NHCI,0.0789,2025
RU,NHCI,0.0362,2025
SA,NHCI,0.0318,2025
SC,NHCI,0.1644,2025
TA,NHCI,0.0357,2025
V,NHCI,0.0224,2025
Y,NHCI,0.041,2025
ZN,NHCI,0.0224,2025
AU,NHCIMi,0.1513,2025
I,NHCIMi,0.1443,2025
P,NHCIMi,0.0959,2025
RB,NHCIMi,0.1553,2025
SA,NHCIMi,0.0675,2025
SC,NHCIMi,0.3,2025
Y,NHCIMi,0.0857,2025
BR,NHECI,0.02,2025
BU,NHECI,0.0258,2025
EB,NHECI,0.0233,2025
EG,NHECI,0.025,2025
FG,NHECI,0.045,2025
FU,NHECI,0.0391,2025
J,NHECI,0.0826,2025
L,NHECI,0.0369,2025
MA,NHECI,0.0494,2025
PG,NHECI,0.0357,2025
PP,NHECI,0.0407,2025
RU,NHECI,0.0698,2025
SA,NHECI,0.0617,2025
SC,NHECI,0.25,2025
SH,NHECI,0.0326,2025
SP,NHECI,0.0379,2025
TA,NHECI,0.0638,2025
UR,NHECI,0.02,2025
V,NHECI,0.0407,2025
FU,NHEI,0.1187,2025
J,NHEI,0.1822,2025
PG,NHEI,0.0877,2025
SC,NHEI,0.6114,2025
I,NHFI,0.3065,2025
J,NHFI,0.1894,2025
RB,NHFI,0.3523,2025
SF,NHFI,0.0361,2025
SM,NHFI,0.0406,2025
SS,NHFI,0.0751,2025
I,NHFMI,0.5396,2025
J,NHFMI,0.32,2025
SF,NHFMI,0.0663,2025
SM,NHFMI,0.0741,2025
AL,NHII,0.0508,2025
AO,NHII,0.0309,2025
CU,NHII,0.085,2025
FG,NHII,0.0304,2025
FU,NHII,0.0264,2025
I,NHII,0.0841,2025
J,NHII,0.0563,2025
MA,NHII,0.0334,2025
NI,NHII,0.0519,2025
PP,NHII,0.0276,2025
RB,NHII,0.0923,2025
RU,NHII,0.0472,2025
SA,NHII,0.0417,2025
SC,NHII,0.1746,2025
SH,NHII,0.022,2025
SN,NHII,0.0215,2025
SP,NHII,0.0257,2025
TA,NHII,0.0432,2025
V,NHII,0.0275,2025
ZN,NHII,0.0275,2025
AL,NHMI,0.1011,2025
AO,NHMI,0.0612,2025
CU,NHMI,0.1689,2025
I,NHMI,0.1672,2025
LC,NHMI,0.035,2025
NI,NHMI,0.1028,2025
RB,NHMI,0.1831,2025
SF,NHMI,0.02,2025
SM,NHMI,0.0207,2025
SN,NHMI,0.0423,2025
SS,NHMI,0.0433,2025
ZN,NHMI,0.0544,2025
AL,NHNFI,0.1835,2025
AO,NHNFI,0.1086,2025
CU,NHNFI,0.3016,2025
LC,NHNFI,0.0607,2025
NI,NHNFI,0.1785,2025
SN,NHNFI,0.0724,2025
ZN,NHNFI,0.0947,2025
LC,NHNMI,0.5868,2025
SI,NHNMI,0.4132,2025
A,NHOOI,0.0705,2025
M,NHOOI,0.2562,2025
OI,NHOOI,0.1624,2025
P,NHOOI,0.2076,2025
RM,NHOOI,0.0793,2025
Y,NHOOI,0.224,2025
BR,NHPCI,0.0589,2025
BU,NHPCI,0.1053,2025
EB,NHPCI,0.0961,2025
EG,NHPCI,0.1014,2025
L,NHPCI,0.161,2025
PF,NHPCI,0.0456,2025
PP,NHPCI,0.1711,2025
TA,NHPCI,0.2606,2025
AG,NHPMI,0.399,2025
AU,NHPMI,0.601,2025
AG,NHQFII,0.0753,2025
AL,NHQFII,0.0541,2025
AU,NHQFII,0.0895,2025
CU,NHQFII,0.0879,2025
I,NHQFII,0.088,2025
M,NHQFII,0.048,2025
MA,NHQFII,0.0333,2025
OI,NHQFII,0.0391,2025
P,NHQFII,0.056,2025
RB,NHQFII,0.0935,2025
SC,NHQFII,0.1878,2025
TA,NHQFII,0.0429,2025
V,NHQFII,0.0271,2025
Y,NHQFII,0.0505,2025
ZN,NHQFII,0.027,2025
AU,NHRECI,0.0916,2025
CF,NHRECI,0.2303,2025
CU,NHRECI,0.1696,2025
I,NHRECI,0.0692,2025
M,NHRECI,0.1275,2025
RB,NHRECI,0.0971,2025
SA,NHRECI,0.0599,2025
SC,NHRECI,0.0709,2025
ZN,NHRECI,0.0839,2025
