date,close
2012/12/31,1000
2013/01/04,988.57
2013/01/07,996.47
2013/01/08,1010.36
2013/01/09,1014.46
2013/01/10,1012.92
2013/01/11,995.89
2013/01/14,1029.31
2013/01/15,1043.13
2013/01/16,1044.49
2013/01/17,1038.33
2013/01/18,1056.54
2013/01/21,1053.68
2013/01/22,1032.95
2013/01/23,1038.25
2013/01/24,1018.65
2013/01/25,1020.64
2013/01/28,1042.78
2013/01/29,1050.91
2013/01/30,1053.72
2013/01/31,1052.89
2013/02/01,1058.73
2013/02/04,1044.38
2013/02/05,1060.5
2013/02/06,1066.63
2013/02/07,1075.79
2013/02/08,1092.48
2013/02/18,1091.84
2013/02/19,1068.37
2013/02/20,1090.14
2013/02/21,1067.84
2013/02/22,1066.09
2013/02/25,1076.84
2013/02/26,1064.87
2013/02/27,1067.91
2013/02/28,1085.62
2013/03/01,1095.52
2013/03/04,1064.49
2013/03/05,1086.59
2013/03/06,1107.77
2013/03/07,1090.39
2013/03/08,1079.93
2013/03/11,1082.18
2013/03/12,1064.25
2013/03/13,1055.22
2013/03/14,1062.93
2013/03/15,1067.26
2013/03/18,1062.14
2013/03/19,1068.86
2013/03/20,1091.2
2013/03/21,1103.01
2013/03/22,1108.8
2013/03/25,1110.81
2013/03/26,1111.21
2013/03/27,1115.29
2013/03/28,1094.04
2013/03/29,1098.5
2013/04/01,1108.35
2013/04/02,1090.64
2013/04/03,1080.39
2013/04/08,1091.43
2013/04/09,1095.53
2013/04/10,1090.35
2013/04/11,1090.92
2013/04/12,1085.5
2013/04/15,1070.7
2013/04/16,1078.65
2013/04/17,1095.18
2013/04/18,1098.49
2013/04/19,1122.84
2013/04/22,1135.6
2013/04/23,1111.58
2013/04/24,1142.17
2013/04/25,1114.97
2013/04/26,1097.51
2013/05/02,1116.36
2013/05/03,1138.11
2013/05/06,1154.19
2013/05/07,1153.23
2013/05/08,1165.86
2013/05/09,1164.81
2013/05/10,1173.58
2013/05/13,1179.88
2013/05/14,1168.04
2013/05/15,1189.21
2013/05/16,1205.94
2013/05/17,1219.42
2013/05/20,1230.51
2013/05/21,1241.58
2013/05/22,1229.36
2013/05/23,1231.86
2013/05/24,1249.66
2013/05/27,1267.94
2013/05/28,1266.13
2013/05/29,1277.9
2013/05/30,1278.1
2013/05/31,1265.12
2013/06/03,1251.65
2013/06/04,1220.6
2013/06/05,1225.15
2013/06/06,1207.18
2013/06/07,1193.28
2013/06/13,1167.64
2013/06/14,1201.2
2013/06/17,1204.81
2013/06/18,1216.02
2013/06/19,1210.11
2013/06/20,1162.76
2013/06/21,1163.21
2013/06/24,1098.83
2013/06/25,1097.44
2013/06/26,1136.66
2013/06/27,1119.78
2013/06/28,1120.74
2013/07/01,1160.26
2013/07/02,1176.94
2013/07/03,1184.87
2013/07/04,1178.96
2013/07/05,1165.69
2013/07/08,1127.9
2013/07/09,1132.19
2013/07/10,1157.34
2013/07/11,1187.07
2013/07/12,1180.01
2013/07/15,1201.7
2013/07/16,1218.31
2013/07/17,1195.26
2013/07/18,1189.67
2013/07/19,1160.27
2013/07/22,1178.17
2013/07/23,1211.47
2013/07/24,1218.72
2013/07/25,1191.8
2013/07/26,1189.28
2013/07/29,1171.43
2013/07/30,1156.34
2013/07/31,1156.84
2013/08/01,1201.48
2013/08/02,1199.1
2013/08/05,1225.39
2013/08/06,1249.85
2013/08/07,1228.98
2013/08/08,1234.42
2013/08/09,1234.35
2013/08/12,1248.02
2013/08/13,1250.75
2013/08/14,1246.7
2013/08/15,1226.7
2013/08/16,1198.69
2013/08/19,1223.79
2013/08/20,1217.2
2013/08/21,1219.22
2013/08/22,1231.75
2013/08/23,1235.92
2013/08/26,1254.96
2013/08/27,1254.42
2013/08/28,1237.06
2013/08/29,1231.75
2013/08/30,1204.56
2013/09/02,1216.1
2013/09/03,1243.59
2013/09/04,1242.38
2013/09/05,1250.24
2013/09/06,1259.84
2013/09/09,1261.52
2013/09/10,1262.7
2013/09/11,1248.08
2013/09/12,1246.73
2013/09/13,1261.99
2013/09/16,1272.85
2013/09/17,1257.84
2013/09/18,1261.75
2013/09/23,1297.63
2013/09/24,1289.57
2013/09/25,1277.06
2013/09/26,1263.54
2013/09/27,1270.39
2013/09/30,1287.9
2013/10/08,1316.07
2013/10/09,1333.84
2013/10/10,1330.55
2013/10/11,1346.31
2013/10/14,1356.95
2013/10/15,1353.67
2013/10/16,1322.76
2013/10/17,1310.22
2013/10/18,1320.17
2013/10/21,1358.74
2013/10/22,1339.41
2013/10/23,1304.15
2013/10/24,1295.78
2013/10/25,1275.55
2013/10/28,1288.49
2013/10/29,1273.5
2013/10/30,1289.84
2013/10/31,1253.64
2013/11/01,1240.98
2013/11/04,1250.01
2013/11/05,1264.74
2013/11/06,1253.2
2013/11/07,1231.3
2013/11/08,1212.98
2013/11/11,1222.45
2013/11/12,1231.15
2013/11/13,1206.53
2013/11/14,1231.24
2013/11/15,1256.71
2013/11/18,1282.86
2013/11/19,1284.03
2013/11/20,1286.39
2013/11/21,1277.21
2013/11/22,1269.24
2013/11/25,1265.37
2013/11/26,1266.13
2013/11/27,1284.28
2013/11/28,1309.65
2013/11/29,1318.95
2013/12/02,1268.71
2013/12/03,1297.52
2013/12/04,1315.75
2013/12/05,1302.34
2013/12/06,1292.52
2013/12/09,1298.22
2013/12/10,1300.29
2013/12/11,1286.55
2013/12/12,1293.44
2013/12/13,1295.67
2013/12/16,1272.98
2013/12/17,1263.25
2013/12/18,1262.11
2013/12/19,1254.37
2013/12/20,1230.49
2013/12/23,1228.02
2013/12/24,1240.1
2013/12/25,1263.15
2013/12/26,1240.48
2013/12/27,1260.56
2013/12/30,1260.45
2013/12/31,1269.9
2014/01/02,1276.82
2014/01/03,1277.3
2014/01/06,1244.16
2014/01/07,1253.12
2014/01/08,1264.98
2014/01/09,1252.46
2014/01/10,1234.78
2014/01/13,1235.53
2014/01/14,1260.23
2014/01/15,1270.09
2014/01/16,1266.7
2014/01/17,1254.43
2014/01/20,1239.17
2014/01/21,1258.65
2014/01/22,1297.1
2014/01/23,1314.83
2014/01/24,1328.2
2014/01/27,1324.96
2014/01/28,1321.32
2014/01/29,1339.37
2014/01/30,1326.33
2014/02/07,1353.26
2014/02/10,1397.29
2014/02/11,1388.17
2014/02/12,1392.94
2014/02/13,1376.94
2014/02/14,1397.44
2014/02/17,1427.05
2014/02/18,1410.14
2014/02/19,1415.51
2014/02/20,1400.14
2014/02/21,1395.3
2014/02/24,1390
2014/02/25,1345.27
2014/02/26,1354.28
2014/02/27,1328.85
2014/02/28,1349.06
2014/03/03,1377.74
2014/03/04,1373.39
2014/03/05,1361.93
2014/03/06,1362.94
2014/03/07,1363.92
2014/03/10,1321.8
2014/03/11,1314.93
2014/03/12,1312.49
2014/03/13,1337.63
2014/03/14,1326.45
2014/03/17,1359.36
2014/03/18,1367.27
2014/03/19,1359.81
2014/03/20,1325.23
2014/03/21,1342.99
2014/03/24,1338.58
2014/03/25,1345.69
2014/03/26,1351.1
2014/03/27,1320.71
2014/03/28,1298.34
2014/03/31,1293.32
2014/04/01,1308.95
2014/04/02,1299.34
2014/04/03,1294.69
2014/04/04,1313.77
2014/04/08,1329.69
2014/04/09,1339.33
2014/04/10,1349.74
2014/04/11,1337.22
2014/04/14,1349.1
2014/04/15,1338.33
2014/04/16,1332.8
2014/04/17,1330.56
2014/04/18,1334.34
2014/04/21,1319.41
2014/04/22,1310.76
2014/04/23,1304.51
2014/04/24,1293.95
2014/04/25,1272.23
2014/04/28,1242.29
2014/04/29,1263.38
2014/04/30,1276.51
2014/05/05,1287.98
2014/05/06,1291.14
2014/05/07,1265.16
2014/05/08,1256.85
2014/05/09,1240.41
2014/05/12,1266.1
2014/05/13,1265.96
2014/05/14,1265.6
2014/05/15,1238.56
2014/05/16,1231.99
2014/05/19,1227.77
2014/05/20,1233.97
2014/05/21,1241.27
2014/05/22,1249.58
2014/05/23,1261.57
2014/05/26,1279.38
2014/05/27,1273.3
2014/05/28,1297.32
2014/05/29,1278.27
2014/05/30,1282.53
2014/06/03,1279.02
2014/06/04,1269.96
2014/06/05,1286.61
2014/06/06,1286.92
2014/06/09,1275.29
2014/06/10,1292.74
2014/06/11,1299.35
2014/06/12,1292.91
2014/06/13,1310.38
2014/06/16,1318.02
2014/06/17,1299.36
2014/06/18,1291.95
2014/06/19,1258.28
2014/06/20,1270.86
2014/06/23,1287.81
2014/06/24,1293.98
2014/06/25,1285.49
2014/06/26,1299.9
2014/06/27,1307.96
2014/06/30,1323.62
2014/07/01,1338.94
2014/07/02,1349.27
2014/07/03,1358.73
2014/07/04,1354.12
2014/07/07,1345.27
2014/07/08,1351.23
2014/07/09,1322.91
2014/07/10,1312.86
2014/07/11,1318.32
2014/07/14,1330.14
2014/07/15,1317.64
2014/07/16,1305.42
2014/07/17,1300.4
2014/07/18,1301.89
2014/07/21,1299.08
2014/07/22,1314.78
2014/07/23,1295.2
2014/07/24,1286.48
2014/07/25,1304.78
2014/07/28,1333.66
2014/07/29,1346.1
2014/07/30,1351.21
2014/07/31,1358.21
2014/08/01,1333.48
2014/08/04,1348.4
2014/08/05,1363.31
2014/08/06,1376.16
2014/08/07,1369.51
2014/08/08,1376.95
2014/08/11,1398.8
2014/08/12,1406.32
2014/08/13,1411.21
2014/08/14,1402.69
2014/08/15,1418.86
2014/08/18,1439.39
2014/08/19,1442.91
2014/08/20,1437.54
2014/08/21,1442.87
2014/08/22,1459.57
2014/08/25,1453.15
2014/08/26,1433.38
2014/08/27,1445.03
2014/08/28,1432.74
2014/08/29,1451.91
2014/09/01,1478.17
2014/09/02,1496.51
2014/09/03,1513.5
2014/09/04,1523.47
2014/09/05,1530.07
2014/09/09,1544.44
2014/09/10,1546.92
2014/09/11,1542.99
2014/09/12,1551.05
2014/09/15,1558.72
2014/09/16,1503.67
2014/09/17,1512.18
2014/09/18,1518.28
2014/09/19,1533.45
2014/09/22,1517.93
2014/09/23,1538.23
2014/09/24,1562.46
2014/09/25,1559.92
2014/09/26,1564.56
2014/09/29,1578.65
2014/09/30,1586.6
2014/10/08,1606.11
2014/10/09,1611.89
2014/10/10,1596.64
2014/10/13,1593.15
2014/10/14,1589.16
2014/10/15,1590.11
2014/10/16,1568.65
2014/10/17,1554.44
2014/10/20,1569.69
2014/10/21,1557.26
2014/10/22,1540.88
2014/10/23,1524.47
2014/10/24,1532.38
2014/10/27,1550.74
2014/10/28,1583.26
2014/10/29,1599.17
2014/10/30,1595.23
2014/10/31,1583.48
2014/11/03,1589.02
2014/11/04,1577.86
2014/11/05,1576.28
2014/11/06,1591.33
2014/11/07,1579.44
2014/11/10,1588.46
2014/11/11,1544.03
2014/11/12,1561.86
2014/11/13,1535.93
2014/11/14,1532.25
2014/11/17,1547.02
2014/11/18,1553.37
2014/11/19,1562.26
2014/11/20,1556.82
2014/11/21,1567.13
2014/11/24,1591.63
2014/11/25,1621.04
2014/11/26,1632.91
2014/11/27,1641.48
2014/11/28,1639.58
2014/12/01,1623.98
2014/12/02,1640.49
2014/12/03,1662.89
2014/12/04,1693.64
2014/12/05,1690.56
2014/12/08,1712.92
2014/12/09,1637.98
2014/12/10,1684.37
2014/12/11,1704.59
2014/12/12,1722.42
2014/12/15,1747.31
2014/12/16,1750.04
2014/12/17,1736.53
2014/12/18,1764.99
2014/12/19,1763.41
2014/12/22,1691.04
2014/12/23,1644.14
2014/12/24,1663.7
2014/12/25,1694.47
2014/12/26,1710.6
2014/12/29,1694.22
2014/12/30,1656.28
2014/12/31,1668.8
2015/01/05,1686.3
2015/01/06,1728.68
2015/01/07,1725.38
2015/01/08,1725.76
2015/01/09,1717.87
2015/01/12,1705.19
2015/01/13,1732.95
2015/01/14,1727.88
2015/01/15,1746.48
2015/01/16,1783.85
2015/01/19,1715.64
2015/01/20,1786.45
2015/01/21,1825.65
2015/01/22,1860.83
2015/01/23,1837.47
2015/01/26,1879.65
2015/01/27,1887.36
